"rank","State","Pop","Growth","Pop2021","Pop2010","growthSince2010","Percent","density"
"1","California","39664128","0.0013","39613493","37319502","0.0628","0.1180","254.6179"
"2","Texas","30097526","0.0124","29730311","25241971","0.1924","0.0896","115.2138"
"3","Florida","22177997","0.0106","21944577","18845537","0.1768","0.0660","413.5757"
"4","New York","19223191","-0.0040","19299981","19399878","-0.0091","0.0572","407.9105"
"5","Pennsylvania","12805190","0.0001","12804123","12711160","0.0074","0.0381","286.1943"
"6","Illinois","12518071","-0.0041","12569321","12840503","-0.0251","0.0372","225.4736"
"7","Ohio","11727377","0.0011","11714618","11539336","0.0163","0.0349","287.0066"
"8","Georgia","10936299","0.0098","10830007","9711881","0.1261","0.0325","190.1535"
"9","North Carolina","10807491","0.0099","10701022","9574323","0.1288","0.0322","222.2940"
"10","Michigan","9995212","0.0003","9992427","9877510","0.0119","0.0297","176.7844"
"11","New Jersey","8870685","-0.0004","8874520","8799446","0.0081","0.0264","1206.2395"
"12","Virginia","8638218","0.0040","8603985","8023699","0.0766","0.0257","218.7444"
"13","Washington","7887965","0.0117","7796941","6742830","0.1698","0.0235","118.6945"
"14","Arizona","7640796","0.0160","7520103","6407172","0.1925","0.0227","67.2641"
"15","Tennessee","7001803","0.0083","6944260","6355311","0.1017","0.0208","169.8024"
"16","Massachusetts","6922107","0.0014","6912239","6566307","0.0542","0.0206","887.4496"
"17","Indiana","6842385","0.0054","6805663","6490432","0.0542","0.0204","190.9894"
"18","Missouri","6184843","0.0026","6169038","5995974","0.0315","0.0184","89.9718"
"19","Maryland","6075314","0.0016","6065436","5788645","0.0495","0.0181","625.8694"
"20","Colorado","5961083","0.0114","5893634","5047349","0.1810","0.0177","57.5161"
"21","Wisconsin","5867518","0.0026","5852490","5690475","0.0311","0.0175","108.3407"
"22","Minnesota","5739781","0.0059","5706398","5310828","0.0808","0.0171","72.0834"
"23","South Carolina","5342388","0.0122","5277830","4635649","0.1525","0.0159","177.7182"
"24","Alabama","4949697","0.0031","4934193","4785437","0.0343","0.0147","97.7332"
"25","Louisiana","4616106","-0.0024","4627002","4544532","0.0157","0.0137","106.8444"
"26","Kentucky","4487233","0.0015","4480713","4348181","0.0320","0.0134","113.6411"
"27","Oregon","4325290","0.0084","4289439","3837491","0.1271","0.0129","45.0607"
"28","Oklahoma","4007179","0.0042","3990443","3759944","0.0658","0.0119","58.4179"
"29","Connecticut","3546588","-0.0018","3552821","3579114","-0.0091","0.0106","732.4634"
"30","Utah","3363182","0.0158","3310774","2775332","0.2118","0.0100","40.9296"
"31","Nevada","3238601","0.0166","3185786","2702405","0.1984","0.0096","29.5006"
"32","Puerto Rico","3194714","0.0001","3194374","3721525","-0.1416","0.0095","923.5947"
"33","Iowa","3174426","0.0020","3167974","3050745","0.0405","0.0094","56.8313"
"34","Arkansas","3042017","0.0027","3033946","2921964","0.0411","0.0091","58.4610"
"35","Mississippi","2961536","-0.0016","2966407","2970548","-0.0030","0.0088","63.1148"
"36","Kansas","2919179","0.0007","2917224","2858190","0.0213","0.0087","35.7047"
"37","New Mexico","2109093","0.0019","2105005","2064552","0.0216","0.0063","17.3877"
"38","Nebraska","1960790","0.0045","1951996","1829542","0.0717","0.0058","25.5231"
"39","Idaho","1896652","0.0196","1860123","1570746","0.2075","0.0056","22.9499"
"40","West Virginia","1755715","-0.0069","1767859","1854239","-0.0531","0.0052","73.0391"
"41","Hawaii","1401709","-0.0034","1406430","1363963","0.0277","0.0042","218.2328"
"42","New Hampshire","1378449","0.0046","1372203","1316762","0.0468","0.0041","153.9650"
"43","Maine","1359677","0.0038","1354522","1327629","0.0241","0.0040","44.0838"
"44","Montana","1093117","0.0075","1085004","990697","0.1034","0.0033","7.5105"
"45","Rhode Island","1062583","0.0010","1061509","1053959","0.0082","0.0032","1027.6431"
"46","Delaware","998619","0.0084","990334","899593","0.1101","0.0030","512.3751"
"47","South Dakota","902542","0.0066","896581","816166","0.1058","0.0027","11.9052"
"48","North Dakota","774008","0.0052","770026","674715","0.1472","0.0023","11.2173"
"49","Alaska","720763","-0.0050","724357","713910","0.0096","0.0021","1.2631"
"50","District of Columbia","718355","0.0059","714153","605226","0.1869","0.0021","11776.3115"
"51","Vermont","622882","-0.0006","623251","625879","-0.0048","0.0019","67.5797"
"52","Wyoming","582233","0.0020","581075","564487","0.0314","0.0017","5.9967"
